Date,Price
2000-01-01,188.81
2000-02-01,191.49
2000-03-01,254.68
2000-04-01,242.85
2000-05-01,217.05
2000-06-01,194.93
2000-07-01,200.22
2000-08-01,239.03
2000-09-01,204.61
2000-10-01,192.22
2000-11-01,149.84
2000-12-01,144.39
2001-01-01,167.74
2001-02-01,158.10
2001-03-01,166.67
2001-04-01,177.31
2001-05-01,207.71
2001-06-01,219.40
2001-07-01,200.64
2001-08-01,193.72
2001-09-01,167.33
2001-10-01,187.41
2001-11-01,213.32
2001-12-01,236.24
2002-01-01,260.77
2002-02-01,262.65
2002-03-01,302.96
2002-04-01,343.33
2002-05-01,333.61
2002-06-01,304.18
2002-07-01,281.81
2002-08-01,292.23
2002-09-01,289.96
2002-10-01,311.41
2002-11-01,321.41
2002-12-01,318.91
2003-01-01,307.78
2003-02-01,341.52
2003-03-01,325.56
2003-04-01,369.77
2003-05-01,421.08
2003-06-01,455.44
2003-07-01,430.30
2003-08-01,484.00
2003-09-01,515.17
2003-10-01,468.85
2003-11-01,484.73
2003-12-01,514.71
2004-01-01,551.72
2004-02-01,591.09
2004-03-01,644.64
2004-04-01,561.78
2004-05-01,535.40
2004-06-01,534.84
2004-07-01,502.81
2004-08-01,549.28
2004-09-01,611.03
2004-10-01,632.97
2004-11-01,570.76
2004-12-01,552.22
2005-01-01,575.74
2005-02-01,635.38
2005-03-01,598.04
2005-04-01,593.88
2005-05-01,603.89
2005-06-01,639.98
2005-07-01,700.65
2005-08-01,784.28
2005-09-01,892.50
2005-10-01,842.52
2005-11-01,944.55
2005-12-01,"1,011.00"
2006-01-01,"1,171.44"
2006-02-01,"1,320.83"
2006-03-01,"1,299.19"
2006-04-01,"1,486.85"
2006-05-01,"1,281.50"
2006-06-01,"1,331.39"
2006-07-01,"1,380.24"
2006-08-01,"1,448.72"
2006-09-01,"1,367.24"
2006-10-01,"1,426.86"
2006-11-01,"1,550.58"
2006-12-01,"1,693.47"
2007-01-01,"1,656.94"
2007-02-01,"1,655.25"
2007-03-01,"1,698.08"
2007-04-01,"1,678.27"
2007-05-01,"1,570.34"
2007-06-01,"1,665.96"
2007-07-01,"1,734.42"
2007-08-01,"1,677.02"
2007-09-01,"1,759.44"
2007-10-01,"1,874.73"
2007-11-01,"1,850.64"
2007-12-01,"1,888.86"
2008-01-01,"1,574.33"
2008-02-01,"1,660.42"
2008-03-01,"1,628.43"
2008-04-01,"1,667.35"
2008-05-01,"1,925.24"
2008-06-01,"1,753.67"
2008-07-01,"1,495.33"
2008-08-01,"1,348.92"
